"S.
No",District,Assembly constituency,Corporation/Municipality,Ward Number,Male,Female,Other,Total Voters,parliament constituency,5243023,AC Reservation
1,Adilabad,Adilabad,Adilabad Municipality,1,1440,1435,0,2875,Adilabad,,
2,Adilabad,Adilabad,Adilabad Municipality,2,1557,1637,0,3194,Adilabad,,
3,Adilabad,Adilabad,Adilabad Municipality,3,1329,1429,0,2758,Adilabad,,
4,Adilabad,Adilabad,Adilabad Municipality,4,1766,2064,2,3832,Adilabad,,
5,Adilabad,Adilabad,Adilabad Municipality,5,1354,1476,0,2830,Adilabad,,
6,Adilabad,Adilabad,Adilabad Municipality,6,1442,1491,0,2933,Adilabad,,
7,Adilabad,Adilabad,Adilabad Municipality,7,1455,1644,0,3099,Adilabad,,
8,Adilabad,Adilabad,Adilabad Municipality,8,1551,1679,0,3230,Adilabad,,
9,Adilabad,Adilabad,Adilabad Municipality,9,1240,1380,0,2620,Adilabad,,
10,Adilabad,Adilabad,Adilabad Municipality,10,1481,1613,0,3094,Adilabad,,
11,Adilabad,Adilabad,Adilabad Municipality,11,1392,1438,1,2831,Adilabad,,
12,Adilabad,Adilabad,Adilabad Municipality,12,1562,1635,0,3197,Adilabad,,
13,Adilabad,Adilabad,Adilabad Municipality,13,1409,1454,0,2863,Adilabad,,
14,Adilabad,Adilabad,Adilabad Municipality,14,1466,1511,0,2977,Adilabad,,
15,Adilabad,Adilabad,Adilabad Municipality,15,1530,1650,0,3180,Adilabad,,
16,Adilabad,Adilabad,Adilabad Municipality,16,1717,1782,1,3500,Adilabad,,
17,Adilabad,Adilabad,Adilabad Municipality,17,1280,1395,0,2675,Adilabad,,
18,Adilabad,Adilabad,Adilabad Municipality,18,1294,1343,1,2638,Adilabad,,
19,Adilabad,Adilabad,Adilabad Municipality,19,1520,1533,0,3053,Adilabad,,
20,Adilabad,Adilabad,Adilabad Municipality,20,1385,1416,0,2801,Adilabad,,
21,Adilabad,Adilabad,Adilabad Municipality,21,1521,1642,0,3163,Adilabad,,
22,Adilabad,Adilabad,Adilabad Municipality,22,1520,1688,0,3208,Adilabad,,
23,Adilabad,Adilabad,Adilabad Municipality,23,1389,1478,0,2867,Adilabad,,
24,Adilabad,Adilabad,Adilabad Municipality,24,1375,1392,0,2767,Adilabad,,
25,Adilabad,Adilabad,Adilabad Municipality,25,1272,1404,0,2676,Adilabad,,
26,Adilabad,Adilabad,Adilabad Municipality,26,1530,1592,0,3122,Adilabad,,
27,Adilabad,Adilabad,Adilabad Municipality,27,1214,1344,0,2558,Adilabad,,
28,Adilabad,Adilabad,Adilabad Municipality,28,1337,1512,0,2849,Adilabad,,
29,Adilabad,Adilabad,Adilabad Municipality,29,1448,1495,0,2943,Adilabad,,
30,Adilabad,Adilabad,Adilabad Municipality,30,1603,1651,0,3254,Adilabad,,
31,Adilabad,Adilabad,Adilabad Municipality,31,1461,1497,0,2958,Adilabad,,
32,Adilabad,Adilabad,Adilabad Municipality,32,1714,1810,0,3524,Adilabad,,
33,Adilabad,Adilabad,Adilabad Municipality,33,1103,1296,0,2399,Adilabad,,
34,Adilabad,Adilabad,Adilabad Municipality,34,1303,1381,0,2684,Adilabad,,
35,Adilabad,Adilabad,Adilabad Municipality,35,1583,1687,0,3270,Adilabad,,
36,Adilabad,Adilabad,Adilabad Municipality,36,1490,1582,1,3073,Adilabad,,
37,Adilabad,Adilabad,Adilabad Municipality,37,1140,1234,0,2374,Adilabad,,
38,Adilabad,Adilabad,Adilabad Municipality,38,1663,1642,0,3305,Adilabad,,
39,Adilabad,Adilabad,Adilabad Municipality,39,1481,1596,0,3077,Adilabad,,
40,Adilabad,Adilabad,Adilabad Municipality,40,1472,1521,0,2993,Adilabad,,
41,Adilabad,Adilabad,Adilabad Municipality,41,1433,1412,0,2845,Adilabad,,
42,Adilabad,Adilabad,Adilabad Municipality,42,1323,1380,0,2703,Adilabad,,
43,Adilabad,Adilabad,Adilabad Municipality,43,1401,1489,0,2890,Adilabad,,
44,Adilabad,Adilabad,Adilabad Municipality,44,1685,1788,0,3473,Adilabad,,
45,Adilabad,Adilabad,Adilabad Municipality,45,1278,1233,0,2511,Adilabad,,
46,Adilabad,Adilabad,Adilabad Municipality,46,1268,1303,0,2571,Adilabad,,
47,Adilabad,Adilabad,Adilabad Municipality,47,1217,1270,0,2487,Adilabad,,
48,Adilabad,Adilabad,Adilabad Municipality,48,1165,1193,0,2358,Adilabad,,
49,Adilabad,Adilabad,Adilabad Municipality,49,1254,1319,0,2573,Adilabad,,
50,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,1,1088,1187,0,2275,Khammam,,
51,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,2,1102,1168,0,2270,Khammam,,
52,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,3,1142,1281,0,2423,Khammam,,
53,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,4,1194,1209,0,2403,Khammam,,
54,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,5,1097,1121,0,2218,Khammam,,
55,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,6,1125,1327,1,2453,Khammam,,
56,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,7,990,1045,0,2035,Khammam,,
57,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,8,1101,1178,0,2279,Khammam,,
58,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,9,775,857,0,1632,Khammam,,
59,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,10,927,1082,0,2009,Khammam,,
60,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,11,1064,1185,0,2249,Khammam,,
61,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,12,846,972,0,1818,Khammam,,
62,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,13,1244,1419,0,2663,Khammam,,
63,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,14,936,1006,1,1943,Khammam,,
64,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,15,992,1141,4,2137,Khammam,,
65,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,16,927,976,0,1903,Khammam,,
66,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,17,967,1048,1,2016,Khammam,,
67,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,18,971,1089,1,2061,Khammam,,
68,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,19,1122,1201,0,2323,Khammam,,
69,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,20,952,974,0,1926,Khammam,,
70,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,21,1200,1324,0,2524,Khammam,,
71,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,22,1097,1217,0,2314,Khammam,,
72,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,23,1175,1153,0,2328,Khammam,,
73,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,24,1050,1168,0,2218,Khammam,,
74,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,25,1216,1428,0,2644,Khammam,,
75,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,26,1036,1259,0,2295,Khammam,,
76,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,27,862,944,2,1808,Khammam,,
77,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,28,1129,1192,0,2321,Khammam,,
78,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,29,1225,1300,0,2525,Khammam,,
79,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,30,894,1013,0,1907,Khammam,,
80,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,31,1072,1172,0,2244,Khammam,,
81,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,32,1072,1179,0,2251,Khammam,,
82,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,33,1056,1244,0,2300,Khammam,,
83,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,34,1180,1261,0,2441,Khammam,,
84,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,35,1099,1142,0,2241,Khammam,,
85,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,36,1227,1370,0,2597,Khammam,,
86,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,37,985,1036,0,2021,Khammam,,
87,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,38,1101,1163,0,2264,Khammam,,
88,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,39,1108,1192,0,2300,Khammam,,
89,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,40,1023,1037,0,2060,Khammam,,
90,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,41,1003,1067,0,2070,Khammam,,
91,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,42,965,1160,1,2126,Khammam,,
92,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,43,978,1130,0,2108,Khammam,,
93,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,44,1244,1272,0,2516,Khammam,,
94,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,45,1189,1232,0,2421,Khammam,,
95,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,46,1216,1303,0,2519,Khammam,,
96,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,47,1161,1330,0,2491,Khammam,,
97,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,48,1293,1457,0,2750,Khammam,,
98,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,49,945,1058,7,2010,Khammam,,
99,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,50,882,1026,0,1908,Khammam,,
100,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,51,1261,1216,0,2477,Khammam,,
101,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,52,1101,1197,0,2298,Khammam,,
102,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,53,1148,1240,0,2388,Khammam,,
103,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,54,1045,1189,0,2234,Khammam,,
104,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,55,1038,1100,0,2138,Khammam,,
105,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,56,1063,1153,0,2216,Khammam,,
106,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,57,1082,1160,1,2243,Khammam,,
107,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,58,1190,1310,11,2511,Khammam,,
108,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,59,1212,1313,0,2525,Khammam,,
109,Bhadradri-Kothagudem,Kothagudem,Kothagudem Corp.,60,1046,1141,0,2187,Khammam,,
110,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,1,367,410,0,777,Khammam,,ST)
111,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,2,334,367,0,701,Khammam,,ST)
112,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,3,372,403,0,775,Khammam,,ST)
113,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,4,310,369,0,679,Khammam,,ST)
114,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,5,363,361,0,724,Khammam,,ST)
115,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,6,339,381,0,720,Khammam,,ST)
116,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,7,309,348,0,657,Khammam,,ST)
117,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,8,411,442,2,855,Khammam,,ST)
118,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,9,392,459,0,851,Khammam,,ST)
119,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,10,394,426,0,820,Khammam,,ST)
120,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,11,383,396,1,780,Khammam,,ST)
121,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,12,365,366,1,732,Khammam,,ST)
122,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,13,396,383,0,779,Khammam,,ST)
123,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,14,356,387,0,743,Khammam,,ST)
124,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,15,333,370,0,703,Khammam,,ST)
125,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,16,396,414,0,810,Khammam,,ST)
126,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,17,323,351,0,674,Khammam,,ST)
127,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,18,355,413,0,768,Khammam,,ST)
128,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,19,402,432,0,834,Khammam,,ST)
129,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,20,395,438,0,833,Khammam,,ST)
130,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,21,384,403,0,787,Khammam,,ST)
131,Bhadradri-Kothagudem,Aswaraopeta,Aswaraopeta Municipality,22,406,442,0,848,Khammam,,ST)
132,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,1,677,669,1,1347,Mahabubabad,,ST)
133,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,2,746,815,0,1561,Mahabubabad,,ST)
134,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,3,742,797,0,1539,Mahabubabad,,ST)
135,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,4,659,705,0,1364,Mahabubabad,,ST)
136,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,5,631,712,0,1343,Mahabubabad,,ST)
137,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,6,676,733,0,1409,Mahabubabad,,ST)
138,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,7,697,733,0,1430,Mahabubabad,,ST)
139,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,8,617,702,0,1319,Mahabubabad,,ST)
140,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,9,671,716,0,1387,Mahabubabad,,ST)
141,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,10,604,630,0,1234,Mahabubabad,,ST)
142,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,11,683,615,0,1298,Mahabubabad,,ST)
143,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,12,725,765,0,1490,Mahabubabad,,ST)
144,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,13,586,670,2,1258,Mahabubabad,,ST)
145,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,14,650,715,0,1365,Mahabubabad,,ST)
146,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,15,624,677,0,1301,Mahabubabad,,ST)
147,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,16,667,764,0,1431,Mahabubabad,,ST)
148,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,17,730,725,0,1455,Mahabubabad,,ST)
149,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,18,648,697,0,1345,Mahabubabad,,ST)
150,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,19,738,810,0,1548,Mahabubabad,,ST)
151,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,20,732,816,0,1548,Mahabubabad,,ST)
152,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,21,685,763,0,1448,Mahabubabad,,ST)
153,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,22,691,769,0,1460,Mahabubabad,,ST)
154,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,23,657,687,1,1345,Mahabubabad,,ST)
155,Bhadradri-Kothagudem,Yellandu,Yellandu Municipality,24,686,812,0,1498,Mahabubabad,,ST)
156,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,1,772,860,0,1632,Warangal,,
157,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,2,778,802,0,1580,Warangal,,
158,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,3,940,972,3,1915,Warangal,,
159,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,4,949,931,0,1880,Warangal,,
160,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,5,771,759,0,1530,Warangal,,
161,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,6,735,750,0,1485,Warangal,,
162,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,7,857,691,0,1548,Warangal,,
163,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,8,998,989,0,1987,Warangal,,
164,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,9,1039,1079,1,2119,Warangal,,
165,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,10,767,791,0,1558,Warangal,,
166,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,11,1101,1174,0,2275,Warangal,,
167,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,12,711,715,0,1426,Warangal,,
168,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,13,860,959,0,1819,Warangal,,
169,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,14,978,1015,0,1993,Warangal,,
170,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,15,1016,983,0,1999,Warangal,,
171,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,16,880,866,0,1746,Warangal,,
172,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,17,1060,1017,0,2077,Warangal,,
173,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,18,905,874,0,1779,Warangal,,
174,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,19,973,880,0,1853,Warangal,,
175,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,20,824,749,0,1573,Warangal,,
176,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,21,803,758,0,1561,Warangal,,
177,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,22,807,694,0,1501,Warangal,,
178,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,23,914,839,0,1753,Warangal,,
179,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,24,944,907,0,1851,Warangal,,
180,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,25,1026,940,0,1966,Warangal,,
181,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,26,838,711,0,1549,Warangal,,
182,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,27,821,813,0,1634,Warangal,,
183,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,28,847,704,0,1551,Warangal,,
184,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,29,929,876,0,1805,Warangal,,
185,Jayashankar Bhupalpalle,Bhupalpalle,Bhupalpally Municipality,30,943,838,0,1781,Warangal,,
186,Hanamkonda,Parkal,Parkal Municipality,1,557,625,0,1182,Warangal,,
187,Hanamkonda,Parkal,Parkal Municipality,2,567,592,0,1159,Warangal,,
188,Hanamkonda,Parkal,Parkal Municipality,3,573,647,0,1220,Warangal,,
189,Hanamkonda,Parkal,Parkal Municipality,4,623,626,0,1249,Warangal,,
190,Hanamkonda,Parkal,Parkal Municipality,5,621,685,0,1306,Warangal,,
191,Hanamkonda,Parkal,Parkal Municipality,6,634,650,0,1284,Warangal,,
192,Hanamkonda,Parkal,Parkal Municipality,7,593,629,0,1222,Warangal,,
193,Hanamkonda,Parkal,Parkal Municipality,8,609,621,0,1230,Warangal,,
194,Hanamkonda,Parkal,Parkal Municipality,9,681,691,0,1372,Warangal,,
195,Hanamkonda,Parkal,Parkal Municipality,10,558,632,0,1190,Warangal,,
196,Hanamkonda,Parkal,Parkal Municipality,11,564,659,0,1223,Warangal,,
197,Hanamkonda,Parkal,Parkal Municipality,12,547,631,0,1178,Warangal,,
198,Hanamkonda,Parkal,Parkal Municipality,13,620,683,0,1303,Warangal,,
199,Hanamkonda,Parkal,Parkal Municipality,14,628,652,0,1280,Warangal,,
200,Hanamkonda,Parkal,Parkal Municipality,15,628,591,0,1219,Warangal,,
201,Hanamkonda,Parkal,Parkal Municipality,16,477,500,0,977,Warangal,,
202,Hanamkonda,Parkal,Parkal Municipality,17,582,640,0,1222,Warangal,,
203,Hanamkonda,Parkal,Parkal Municipality,18,518,618,0,1136,Warangal,,
204,Hanamkonda,Parkal,Parkal Municipality,19,584,611,0,1195,Warangal,,
205,Hanamkonda,Parkal,Parkal Municipality,20,570,578,0,1148,Warangal,,
206,Hanamkonda,Parkal,Parkal Municipality,21,642,651,0,1293,Warangal,,
207,Hanamkonda,Parkal,Parkal Municipality,22,561,635,0,1196,Warangal,,
208,Jagtial,Dharmapuri,Dharmapuri Municipality,1,526,558,0,1084,Peddapalle,,SC)
209,Jagtial,Dharmapuri,Dharmapuri Municipality,2,424,440,0,864,Peddapalle,,SC)
210,Jagtial,Dharmapuri,Dharmapuri Municipality,3,438,423,0,861,Peddapalle,,SC)
211,Jagtial,Dharmapuri,Dharmapuri Municipality,4,400,424,0,824,Peddapalle,,SC)
212,Jagtial,Dharmapuri,Dharmapuri Municipality,5,452,526,0,978,Peddapalle,,SC)
213,Jagtial,Dharmapuri,Dharmapuri Municipality,6,252,315,0,567,Peddapalle,,SC)
214,Jagtial,Dharmapuri,Dharmapuri Municipality,7,478,533,0,1011,Peddapalle,,SC)
215,Jagtial,Dharmapuri,Dharmapuri Municipality,8,483,531,0,1014,Peddapalle,,SC)
216,Jagtial,Dharmapuri,Dharmapuri Municipality,9,482,515,1,998,Peddapalle,,SC)
217,Jagtial,Dharmapuri,Dharmapuri Municipality,10,447,437,1,885,Peddapalle,,SC)
218,Jagtial,Dharmapuri,Dharmapuri Municipality,11,438,472,0,910,Peddapalle,,SC)
219,Jagtial,Dharmapuri,Dharmapuri Municipality,12,422,448,0,870,Peddapalle,,SC)
220,Jagtial,Dharmapuri,Dharmapuri Municipality,13,537,594,0,1131,Peddapalle,,SC)
221,Jagtial,Dharmapuri,Dharmapuri Municipality,14,510,574,0,1084,Peddapalle,,SC)
222,Jagtial,Dharmapuri,Dharmapuri Municipality,15,412,494,1,907,Peddapalle,,SC)
223,Jagtial,Jagtial,Jagitial Municipality,1,869,935,0,1804,Nizamabad,,
224,Jagtial,Jagtial,Jagitial Municipality,2,952,998,0,1950,Nizamabad,,
225,Jagtial,Jagtial,Jagitial Municipality,3,946,1019,0,1965,Nizamabad,,
226,Jagtial,Jagtial,Jagitial Municipality,4,1118,1100,0,2218,Nizamabad,,
227,Jagtial,Jagtial,Jagitial Municipality,5,1047,997,0,2044,Nizamabad,,
228,Jagtial,Jagtial,Jagitial Municipality,6,1201,1156,9,2366,Nizamabad,,
229,Jagtial,Jagtial,Jagitial Municipality,7,941,941,3,1885,Nizamabad,,
230,Jagtial,Jagtial,Jagitial Municipality,8,883,938,0,1821,Nizamabad,,
231,Jagtial,Jagtial,Jagitial Municipality,9,662,631,2,1295,Nizamabad,,
232,Jagtial,Jagtial,Jagitial Municipality,10,958,1059,0,2017,Nizamabad,,
233,Jagtial,Jagtial,Jagitial Municipality,11,799,921,2,1722,Nizamabad,,
234,Jagtial,Jagtial,Jagitial Municipality,12,852,859,0,1711,Nizamabad,,
235,Jagtial,Jagtial,Jagitial Municipality,13,851,888,0,1739,Nizamabad,,
236,Jagtial,Jagtial,Jagitial Municipality,14,991,1075,0,2066,Nizamabad,,
237,Jagtial,Jagtial,Jagitial Municipality,15,835,946,2,1783,Nizamabad,,
238,Jagtial,Jagtial,Jagitial Municipality,16,679,722,0,1401,Nizamabad,,
239,Jagtial,Jagtial,Jagitial Municipality,17,1029,1118,0,2147,Nizamabad,,
240,Jagtial,Jagtial,Jagitial Municipality,18,919,995,0,1914,Nizamabad,,
241,Jagtial,Jagtial,Jagitial Municipality,19,912,943,0,1855,Nizamabad,,
242,Jagtial,Jagtial,Jagitial Municipality,20,778,833,0,1611,Nizamabad,,
243,Jagtial,Jagtial,Jagitial Municipality,21,915,946,0,1861,Nizamabad,,
244,Jagtial,Jagtial,Jagitial Municipality,22,806,842,0,1648,Nizamabad,,
245,Jagtial,Jagtial,Jagitial Municipality,23,916,948,0,1864,Nizamabad,,
246,Jagtial,Jagtial,Jagitial Municipality,24,1011,1080,1,2092,Nizamabad,,
247,Jagtial,Jagtial,Jagitial Municipality,25,948,995,0,1943,Nizamabad,,
248,Jagtial,Jagtial,Jagitial Municipality,26,1007,1040,0,2047,Nizamabad,,
249,Jagtial,Jagtial,Jagitial Municipality,27,885,977,0,1862,Nizamabad,,
250,Jagtial,Jagtial,Jagitial Municipality,28,900,890,0,1790,Nizamabad,,
251,Jagtial,Jagtial,Jagitial Municipality,29,1040,1162,0,2202,Nizamabad,,
252,Jagtial,Jagtial,Jagitial Municipality,30,962,1010,0,1972,Nizamabad,,
253,Jagtial,Jagtial,Jagitial Municipality,31,904,997,0,1901,Nizamabad,,
254,Jagtial,Jagtial,Jagitial Municipality,32,853,1010,0,1863,Nizamabad,,
255,Jagtial,Jagtial,Jagitial Municipality,33,899,927,0,1826,Nizamabad,,
256,Jagtial,Jagtial,Jagitial Municipality,34,1043,1144,0,2187,Nizamabad,,
257,Jagtial,Jagtial,Jagitial Municipality,35,958,981,0,1939,Nizamabad,,
258,Jagtial,Jagtial,Jagitial Municipality,36,867,993,0,1860,Nizamabad,,
259,Jagtial,Jagtial,Jagitial Municipality,37,886,1002,0,1888,Nizamabad,,
260,Jagtial,Jagtial,Jagitial Municipality,38,873,955,0,1828,Nizamabad,,
261,Jagtial,Jagtial,Jagitial Municipality,39,873,972,0,1845,Nizamabad,,
262,Jagtial,Jagtial,Jagitial Municipality,40,901,993,0,1894,Nizamabad,,
263,Jagtial,Jagtial,Jagitial Municipality,41,945,989,0,1934,Nizamabad,,
264,Jagtial,Jagtial,Jagitial Municipality,42,950,1014,0,1964,Nizamabad,,
265,Jagtial,Jagtial,Jagitial Municipality,43,868,916,0,1784,Nizamabad,,
266,Jagtial,Jagtial,Jagitial Municipality,44,913,906,0,1819,Nizamabad,,
267,Jagtial,Jagtial,Jagitial Municipality,45,946,1025,0,1971,Nizamabad,,
268,Jagtial,Jagtial,Jagitial Municipality,46,939,1005,0,1944,Nizamabad,,
269,Jagtial,Jagtial,Jagitial Municipality,47,908,957,0,1865,Nizamabad,,
270,Jagtial,Jagtial,Jagitial Municipality,48,985,996,0,1981,Nizamabad,,
271,Jagtial,Jagtial,Jagitial Municipality,49,928,993,0,1921,Nizamabad,,
272,Jagtial,Jagtial,Jagitial Municipality,50,988,1003,0,1991,Nizamabad,,
273,Jagtial,Koratla,Korutla Municipality,1,917,992,0,1909,Nizamabad,,
274,Jagtial,Koratla,Korutla Municipality,2,1148,1184,0,2332,Nizamabad,,
275,Jagtial,Koratla,Korutla Municipality,3,1028,1134,0,2162,Nizamabad,,
276,Jagtial,Koratla,Korutla Municipality,4,925,989,0,1914,Nizamabad,,
277,Jagtial,Koratla,Korutla Municipality,5,916,1002,0,1918,Nizamabad,,
278,Jagtial,Koratla,Korutla Municipality,6,887,980,0,1867,Nizamabad,,
279,Jagtial,Koratla,Korutla Municipality,7,963,1089,0,2052,Nizamabad,,
