S.No.,District,Assembly constituency,Mandal,Gram Panchayat,No of Wards,Male,Female,Others,Total Voters,AC No.,GP reserved for
1,Adilabad,Adilabad,Adilabad Rural,Allikori,6,172,205,0,377,7,ST (W)
2,Adilabad,Adilabad,Adilabad Rural,Ankapur,8,371,416,0,787,7,ST (W)
3,Adilabad,Adilabad,Adilabad Rural,Ankoli,10,1056,1121,0,2177,7,ST (M/W)
4,Adilabad,Adilabad,Adilabad Rural,Arli-B,8,414,436,0,850,7,BC (W)
5,Adilabad,Adilabad,Adilabad Rural,Ashodha,8,173,172,0,345,7,ST (M/W)
6,Adilabad,Adilabad,Adilabad Rural,Bheemseri,10,1022,1065,0,2087,7,BC (M/W)
7,Adilabad,Adilabad,Adilabad Rural,Burnur,8,215,225,0,440,7,ST (M/W)
8,Adilabad,Adilabad,Adilabad Rural,Chanda,10,1158,1257,0,2415,7,UR (M/W)
9,Adilabad,Adilabad,Adilabad Rural,Chichdhari,8,280,302,0,582,7,ST (M/W)
10,Adilabad,Adilabad,Adilabad Rural,Chinchughat,8,328,333,0,661,7,ST (W)
11,Adilabad,Adilabad,Adilabad Rural,Chityalbori,8,140,165,0,305,7,UR (W)
12,Adilabad,Adilabad,Adilabad Rural,Dimma,6,138,156,0,294,7,UR (M/W)
13,Adilabad,Adilabad,Adilabad Rural,Hathigutta,8,128,126,0,254,7,ST (W)
14,Adilabad,Adilabad,Adilabad Rural,Jamdapur,8,531,604,0,1135,7,SC (W)
15,Adilabad,Adilabad,Adilabad Rural,Kachikanti,8,440,473,0,913,7,UR (M/W)
16,Adilabad,Adilabad,Adilabad Rural,Khanapur-CH,8,348,370,0,718,7,ST (W)
17,Adilabad,Adilabad,Adilabad Rural,Khandala,10,507,559,0,1066,7,ST (W)
18,Adilabad,Adilabad,Adilabad Rural,Kumbhajhari,8,217,245,0,462,7,ST (M/W)
19,Adilabad,Adilabad,Adilabad Rural,Landasangvi,10,678,708,0,1386,7,UR (M/W)
20,Adilabad,Adilabad,Adilabad Rural,Linguguda,8,238,261,0,499,7,ST (W)
21,Adilabad,Adilabad,Adilabad Rural,Lohara,8,312,313,0,625,7,ST (M/W)
22,Adilabad,Adilabad,Adilabad Rural,Lokari,8,410,419,0,829,7,ST (M/W)
23,Adilabad,Adilabad,Adilabad Rural,Mamidiguda,8,475,481,0,956,7,ST (W)
24,Adilabad,Adilabad,Adilabad Rural,Pedda Maleborigaon,8,309,318,0,627,7,ST (M/W)
25,Adilabad,Adilabad,Adilabad Rural,Pippaldhari,8,460,475,0,935,7,ST (M/W)
26,Adilabad,Adilabad,Adilabad Rural,Pochera,8,500,564,0,1064,7,SC (M/W)
27,Adilabad,Adilabad,Adilabad Rural,Thantholi,10,825,813,0,1638,7,ST (M/W)
28,Adilabad,Adilabad,Adilabad Rural,Tippa,8,294,308,0,602,7,ST (W)
29,Adilabad,Adilabad,Adilabad Rural,Wanwat,8,237,245,0,482,7,ST (M/W)
30,Adilabad,Adilabad,Adilabad Rural,Yapalguda,10,1150,1193,0,2343,7,ST (W)
31,Adilabad,Adilabad,Adilabad Rural,Yeshwanthguda,8,328,346,0,674,7,ST (W)
32,Adilabad,Adilabad,Bela,Awalpur,8,500,473,0,973,7,SC (M/W)
33,Adilabad,Adilabad,Bela,Bela,12,1928,1905,0,3833,7,BC (W)
34,Adilabad,Adilabad,Bela,Bhadi,8,557,519,0,1076,7,UR (M/W)
35,Adilabad,Adilabad,Bela,Bhavaniguda,6,188,198,0,386,7,ST (W)
36,Adilabad,Adilabad,Bela,Bhedoda,8,505,482,0,987,7,UR (M/W)
37,Adilabad,Adilabad,Bela,Bhedoda (Kopsi),8,288,272,0,560,7,ST (M/W)
38,Adilabad,Adilabad,Bela,Chandpally,8,236,280,0,516,7,ST (W)
39,Adilabad,Adilabad,Bela,Chaprala,10,739,758,0,1497,7,ST (M/W)
40,Adilabad,Adilabad,Bela,Dahegoan,10,691,674,0,1365,7,BC (M/W)
41,Adilabad,Adilabad,Bela,Dhoptala,8,388,382,0,770,7,UR (W)
42,Adilabad,Adilabad,Bela,Ekori,8,252,274,0,526,7,ST (M/W)
43,Adilabad,Adilabad,Bela,Ganeshpur,8,195,207,0,402,7,ST (M/W)
44,Adilabad,Adilabad,Bela,Guda,8,267,267,0,534,7,UR (M/W)
45,Adilabad,Adilabad,Bela,Junoni,8,322,293,0,615,7,UR (W)
46,Adilabad,Adilabad,Bela,Khogdur,8,579,535,0,1114,7,ST (W)
47,Adilabad,Adilabad,Bela,Kobhai,8,384,391,0,775,7,ST (M/W)
48,Adilabad,Adilabad,Bela,Mangrood,8,425,430,0,855,7,ST (W)
49,Adilabad,Adilabad,Bela,Maniyarpur,8,364,354,0,718,7,BC (W)
50,Adilabad,Adilabad,Bela,Masala- B,8,376,382,0,758,7,ST (W)
51,Adilabad,Adilabad,Bela,Masala- K,6,241,264,0,505,7,ST (W)
52,Adilabad,Adilabad,Bela,Patan,8,335,369,0,704,7,ST (M/W)
53,Adilabad,Adilabad,Bela,Pitgaon (L),8,290,285,0,575,7,ST (M/W)
54,Adilabad,Adilabad,Bela,Pohar,8,283,280,0,563,7,ST (W)
55,Adilabad,Adilabad,Bela,Ponala,8,452,456,0,908,7,ST (M/W)
56,Adilabad,Adilabad,Bela,Sadalpur,8,329,349,0,678,7,ST (M/W)
57,Adilabad,Adilabad,Bela,Sangidi,10,903,907,0,1810,7,UR (M/W)
58,Adilabad,Adilabad,Bela,Shamshabad,8,290,285,0,575,7,BC (M/W)
59,Adilabad,Adilabad,Bela,Sirsanna,10,743,686,0,1429,7,UR (W)
60,Adilabad,Adilabad,Bela,Sonkhos,8,343,371,0,714,7,ST (W)
61,Adilabad,Adilabad,Bela,Takli,8,273,288,0,561,7,ST (M/W)
62,Adilabad,Adilabad,Bela,Warur,6,159,146,0,305,7,ST (W)
63,Adilabad,Adilabad,Bhoraj,Akoli,8,365,388,0,753,7,ST (M/W)
64,Adilabad,Adilabad,Bhoraj,Balapur,8,448,446,0,894,7,BC (M/W)
65,Adilabad,Adilabad,Bhoraj,Bhoraj,8,390,435,0,825,7,SC (M/W)
66,Adilabad,Adilabad,Bhoraj,Gimma (K),10,885,992,0,1877,7,UR (M/W)
67,Adilabad,Adilabad,Bhoraj,Guda,8,486,504,0,990,7,SC (M/W)
68,Adilabad,Adilabad,Bhoraj,Hashimpur,6,173,169,0,342,7,BC (W)
69,Adilabad,Adilabad,Bhoraj,Kamai,8,202,218,0,420,7,UR (M/W)
70,Adilabad,Adilabad,Bhoraj,Korta,8,371,383,0,754,7,UR (W)
71,Adilabad,Adilabad,Bhoraj,Lekarwada,8,411,433,0,844,7,UR (M/W)
72,Adilabad,Adilabad,Bhoraj,Mandagada,8,491,536,0,1027,7,UR (M/W)
73,Adilabad,Adilabad,Bhoraj,Pendalwada,10,870,858,0,1728,7,UR (W)
74,Adilabad,Adilabad,Bhoraj,Pipparawada,8,607,644,0,1251,7,UR (M/W)
75,Adilabad,Adilabad,Bhoraj,Poosai,8,266,278,0,544,7,UR (W)
76,Adilabad,Adilabad,Bhoraj,Rampur-T,8,299,329,0,628,7,UR (W)
77,Adilabad,Adilabad,Bhoraj,Sawapoor,8,355,328,0,683,7,SC (W)
78,Adilabad,Adilabad,Bhoraj,Sirsanna,8,302,318,0,620,7,BC (W)
79,Adilabad,Adilabad,Bhoraj,Taroda B,8,381,397,0,778,7,BC (M/W)
80,Adilabad,Adilabad,Jainath,Ada,8,469,490,0,959,7,UR (W)
81,Adilabad,Adilabad,Jainath,Akurla,8,355,328,0,683,7,UR (M/W)
82,Adilabad,Adilabad,Jainath,Bahadurpur,8,562,608,0,1170,7,SC (M/W)
83,Adilabad,Adilabad,Jainath,Belgaon,6,195,199,0,394,7,ST (W)
84,Adilabad,Adilabad,Jainath,Belluri,8,343,346,0,689,7,UR (M/W)
85,Adilabad,Adilabad,Jainath,Deepaiguda,10,944,1060,0,2004,7,UR (W)
86,Adilabad,Adilabad,Jainath,Jainad,12,1814,2017,0,3831,7,UR (W)
87,Adilabad,Adilabad,Jainath,Kamta,8,385,386,0,771,7,BC (W)
88,Adilabad,Adilabad,Jainath,Karanji-K,8,545,583,0,1128,7,SC (W)
89,Adilabad,Adilabad,Jainath,Khapri,8,584,615,0,1199,7,SC (M/W)
90,Adilabad,Adilabad,Jainath,Kowta,10,646,659,0,1305,7,UR (W)
91,Adilabad,Adilabad,Jainath,Kura,8,606,614,0,1220,7,UR (M/W)
92,Adilabad,Adilabad,Jainath,Laxmipur,10,687,725,0,1412,7,BC (M/W)
93,Adilabad,Adilabad,Jainath,Makoda,8,289,269,0,558,7,ST (M/W)
94,Adilabad,Adilabad,Jainath,Nirala,10,632,645,0,1277,7,UR (M/W)
95,Adilabad,Adilabad,Jainath,Pippalgoan,6,155,160,0,315,7,UR (M/W)
96,Adilabad,Adilabad,Jainath,Sangivi-K,8,530,549,0,1079,7,BC (M/W)
97,Adilabad,Adilabad,Mavala,Battisawargaon,10,626,676,0,1302,7,UR (M/W)
98,Adilabad,Adilabad,Mavala,Mavala,10,831,929,0,1760,7,SC (M/W)
99,Adilabad,Adilabad,Mavala,Waghapur,8,646,678,0,1324,7,ST (M/W)
100,Adilabad,Adilabad,Sathnala,Douna,6,270,267,0,537,7,ST (W)
101,Adilabad,Adilabad,Sathnala,Dubbaguda,8,285,324,0,609,7,ST (M/W)
102,Adilabad,Adilabad,Sathnala,Jamini,8,566,541,0,1107,7,ST (M/W)
103,Adilabad,Adilabad,Sathnala,Jamuldhari,6,133,140,0,273,7,ST (M/W)
104,Adilabad,Adilabad,Sathnala,Kanpa Mediguda C,8,212,213,0,425,7,ST (W)
105,Adilabad,Adilabad,Sathnala,Kanpa Mediguda R,8,573,613,0,1186,7,ST (W)
106,Adilabad,Adilabad,Sathnala,Khara,8,208,250,0,458,7,ST (M/W)
107,Adilabad,Adilabad,Sathnala,Mangurla,8,354,376,0,730,7,UR (M/W)
108,Adilabad,Adilabad,Sathnala,Maruguda,8,122,123,0,245,7,ST (W)
109,Adilabad,Adilabad,Sathnala,New Rampur,8,213,199,0,412,7,UR (W)
110,Adilabad,Adilabad,Sathnala,Pardi B,8,256,267,0,523,7,ST (M/W)
111,Adilabad,Adilabad,Sathnala,Pardi K,6,149,157,0,306,7,SC (M/W)
112,Adilabad,Adilabad,Sathnala,Ramai,8,403,386,0,789,7,UR (M/W)
113,Adilabad,Adilabad,Sathnala,Sangvi (G),8,415,395,0,810,7,ST (M/W)
114,Adilabad,Adilabad,Sathnala,Sundargiri,6,205,216,0,421,7,ST (M/W)
115,Adilabad,Adilabad,Sathnala,Syeedpur,10,601,622,0,1223,7,ST (W)
116,Adilabad,Adilabad,Sathnala,Toyaguda,8,306,332,0,638,7,ST (W)
117,Adilabad,Asifabad,Gadiguda,Admiyan,8,309,342,0,651,5,ST (W)
118,Adilabad,Asifabad,Gadiguda,Arjuni,8,290,312,0,602,5,ST (W)
119,Adilabad,Asifabad,Gadiguda,Boddiguda G,8,248,262,0,510,5,ST (W)
120,Adilabad,Asifabad,Gadiguda,Dhaba B,8,305,364,0,669,5,ST (M/W)
121,Adilabad,Asifabad,Gadiguda,Dhaba K,8,273,282,0,555,5,ST (W)
122,Adilabad,Asifabad,Gadiguda,Dongargoan,8,306,291,0,597,5,ST (W)
123,Adilabad,Asifabad,Gadiguda,Gadiguda,10,597,620,0,1217,5,ST (W)
124,Adilabad,Asifabad,Gadiguda,Khadki,8,197,212,0,409,5,ST (M/W)
125,Adilabad,Asifabad,Gadiguda,Khadodi,6,161,188,0,349,5,ST (M/W)
126,Adilabad,Asifabad,Gadiguda,Khandow,8,445,481,0,926,5,ST (M/W)
127,Adilabad,Asifabad,Gadiguda,Kolama,10,635,631,0,1266,5,ST (W)
128,Adilabad,Asifabad,Gadiguda,Kothapally G,8,271,273,0,544,5,ST (M/W)
129,Adilabad,Asifabad,Gadiguda,Kundi Shekuguda,6,164,155,0,319,5,ST (M/W)
130,Adilabad,Asifabad,Gadiguda,Kunikasa G,6,206,216,0,422,5,ST (W)
131,Adilabad,Asifabad,Gadiguda,Lokari B,8,291,316,0,607,5,ST (M/W)
132,Adilabad,Asifabad,Gadiguda,Lokari K,8,389,448,0,837,5,ST (W)
133,Adilabad,Asifabad,Gadiguda,Mediguda,8,352,374,0,726,5,ST (M/W)
134,Adilabad,Asifabad,Gadiguda,Paraswada B,8,363,401,0,764,5,ST (W)
135,Adilabad,Asifabad,Gadiguda,Paraswada K,8,324,307,0,631,5,ST (M/W)
136,Adilabad,Asifabad,Gadiguda,Pipri,8,272,300,0,572,5,ST (W)
137,Adilabad,Asifabad,Gadiguda,Rampur,8,404,369,0,773,5,ST (M/W)
138,Adilabad,Asifabad,Gadiguda,Romankasa,6,158,194,0,352,5,ST (M/W)
139,Adilabad,Asifabad,Gadiguda,Rupapur,8,297,294,0,591,5,ST (M/W)
140,Adilabad,Asifabad,Gadiguda,Sangvi,8,215,225,0,440,5,ST (M/W)
141,Adilabad,Asifabad,Gadiguda,Savri,8,223,247,0,470,5,ST (W)
142,Adilabad,Asifabad,Narnoor,Babejhari,8,346,386,0,732,5,ST (M/W)
143,Adilabad,Asifabad,Narnoor,Balanpur,8,208,235,0,443,5,ST (W)
144,Adilabad,Asifabad,Narnoor,Bethalguda,8,227,214,0,441,5,ST (M/W)
145,Adilabad,Asifabad,Narnoor,Bheempur,10,886,907,0,1793,5,ST (W)
146,Adilabad,Asifabad,Narnoor,Chorgaon,8,463,414,0,877,5,ST (M/W)
147,Adilabad,Asifabad,Narnoor,Empally G,8,277,278,1,556,5,ST (W)
148,Adilabad,Asifabad,Narnoor,Gangapur,8,252,285,0,537,5,ST (W)
149,Adilabad,Asifabad,Narnoor,Gundala G,8,491,466,0,957,5,ST (M/W)
150,Adilabad,Asifabad,Narnoor,Gunjala,8,440,469,0,909,5,ST (M/W)
151,Adilabad,Asifabad,Narnoor,Jamda,8,231,265,1,497,5,ST (M/W)
152,Adilabad,Asifabad,Narnoor,Khairdatwa,8,394,402,0,796,5,ST (M/W)
153,Adilabad,Asifabad,Narnoor,Khampur,8,374,355,0,729,5,ST (W)
154,Adilabad,Asifabad,Narnoor,Kottapalli H,8,568,546,0,1114,5,ST (M/W)
155,Adilabad,Asifabad,Narnoor,Mahagaon,8,355,338,0,693,5,ST (W)
156,Adilabad,Asifabad,Narnoor,Malangi,8,354,367,0,721,5,ST (M/W)
157,Adilabad,Asifabad,Narnoor,Malepur,8,264,268,0,532,5,ST (W)
158,Adilabad,Asifabad,Narnoor,Mankapur,8,524,573,1,1098,5,ST (W)
159,Adilabad,Asifabad,Narnoor,Marapaguda,8,376,381,0,757,5,ST (W)
160,Adilabad,Asifabad,Narnoor,Nagalkonda,10,723,696,0,1419,5,ST (M/W)
161,Adilabad,Asifabad,Narnoor,Narnoor,14,1738,1839,0,3577,5,ST (W)
162,Adilabad,Asifabad,Narnoor,Sungapur Kolamguda,8,391,392,0,783,5,ST (M/W)
163,Adilabad,Asifabad,Narnoor,Tadihadpanur,12,1276,1259,1,2536,5,ST (M/W)
164,Adilabad,Asifabad,Narnoor,Umri,8,448,440,0,888,5,ST (W)
165,Adilabad,Boath,Bazarhathnoor,Ananthapur,8,248,254,0,502,8,ST (W)
166,Adilabad,Boath,Bazarhathnoor,Andhuguda,8,334,346,0,680,8,ST (W)
167,Adilabad,Boath,Bazarhathnoor,Bazarhathnoor,12,1723,1826,0,3549,8,ST (M/W)
168,Adilabad,Boath,Bazarhathnoor,Bhosra,6,239,242,0,481,8,SC (M/W)
169,Adilabad,Boath,Bazarhathnoor,Bhutai - B,8,420,415,0,835,8,ST (W)
170,Adilabad,Boath,Bazarhathnoor,Bhutai - K,6,123,154,0,277,8,ST (W)
171,Adilabad,Boath,Bazarhathnoor,Burkapally,6,179,171,0,350,8,ST (M/W)
172,Adilabad,Boath,Bazarhathnoor,Chandunaik Thanda,10,856,767,0,1623,8,UR (M/W)
173,Adilabad,Boath,Bazarhathnoor,Chintalsangive,8,256,304,0,560,8,UR (W)
174,Adilabad,Boath,Bazarhathnoor,Dedra,8,199,223,0,422,8,UR (W)
175,Adilabad,Boath,Bazarhathnoor,Dehgaon,10,862,892,0,1754,8,ST (W)
176,Adilabad,Boath,Bazarhathnoor,Dharampuri,6,141,175,0,316,8,ST (M/W)
177,Adilabad,Boath,Bazarhathnoor,Dignoor,8,341,344,0,685,8,UR (M/W)
178,Adilabad,Boath,Bazarhathnoor,Gangapur,8,327,299,0,626,8,ST (M/W)
179,Adilabad,Boath,Bazarhathnoor,Girjai,8,295,292,0,587,8,UR (M/W)
180,Adilabad,Boath,Bazarhathnoor,Girnoor,10,685,808,0,1493,8,ST (W)
181,Adilabad,Boath,Bazarhathnoor,Gokonda,8,292,271,0,563,8,ST (M/W)
182,Adilabad,Boath,Bazarhathnoor,Gulab Thanda,6,231,212,0,443,8,ST (W)
183,Adilabad,Boath,Bazarhathnoor,Harkai,6,149,145,0,294,8,ST (W)
184,Adilabad,Boath,Bazarhathnoor,Jatharla,10,480,526,0,1006,8,ST (M/W)
185,Adilabad,Boath,Bazarhathnoor,Kandly,8,318,340,0,658,8,ST (W)
186,Adilabad,Boath,Bazarhathnoor,Kinnerpally,6,158,138,0,296,8,UR (W)
187,Adilabad,Boath,Bazarhathnoor,Kolahari,8,226,246,0,472,8,ST (M/W)
188,Adilabad,Boath,Bazarhathnoor,Manjram Thanda,8,234,225,0,459,8,UR (W)
189,Adilabad,Boath,Bazarhathnoor,Mankapur,6,175,156,0,331,8,ST (M/W)
190,Adilabad,Boath,Bazarhathnoor,Morkhandi,8,321,353,1,675,8,ST (M/W)
191,Adilabad,Boath,Bazarhathnoor,Pipri,10,788,863,0,1651,8,UR (M/W)
192,Adilabad,Boath,Bazarhathnoor,Rampur,8,226,240,0,466,8,ST (W)
193,Adilabad,Boath,Bazarhathnoor,Tembi,8,247,262,0,509,8,UR (M/W)
194,Adilabad,Boath,Bazarhathnoor,Warthamanoor,8,422,465,0,887,8,ST (M/W)
195,Adilabad,Boath,Bazarhathnoor,Yesapur,6,192,187,0,379,8,ST (M/W)
196,Adilabad,Boath,Bheempur,Andarband,8,284,279,0,563,8,ST (W)
197,Adilabad,Boath,Bheempur,Antargaon,8,392,420,0,812,8,UR (M/W)
198,Adilabad,Boath,Bheempur,Arli (T),10,1008,1087,0,2095,8,UR (M/W)
199,Adilabad,Boath,Bheempur,Belsari Rampur,8,421,474,0,895,8,UR (M/W)
200,Adilabad,Boath,Bheempur,Bhagwanpur,6,80,85,0,165,8,ST (M/W)
201,Adilabad,Boath,Bheempur,Bheempur,8,533,554,0,1087,8,UR (W)
202,Adilabad,Boath,Bheempur,Dhanora,8,423,486,0,909,8,UR (W)
203,Adilabad,Boath,Bheempur,Gollaghat,4,115,121,0,236,8,ST (M/W)
204,Adilabad,Boath,Bheempur,Gomutri,8,335,395,0,730,8,UR (W)
205,Adilabad,Boath,Bheempur,Gona,6,172,175,0,347,8,ST (W)
206,Adilabad,Boath,Bheempur,Gubdi,8,224,237,0,461,8,UR (W)
207,Adilabad,Boath,Bheempur,Gubdipally,8,212,219,0,431,8,ST (M/W)
208,Adilabad,Boath,Bheempur,Gunjala,8,313,326,0,639,8,UR (M/W)
209,Adilabad,Boath,Bheempur,Indurpally,6,74,92,0,166,8,ST (W)
210,Adilabad,Boath,Bheempur,Jalkori,4,102,116,0,218,8,ST (W)
211,Adilabad,Boath,Bheempur,Kamatwada,8,177,192,0,369,8,ST (M/W)
212,Adilabad,Boath,Bheempur,Karanji (T),10,665,755,0,1420,8,UR (M/W)
213,Adilabad,Boath,Bheempur,Karanwadi,6,163,186,0,349,8,ST (M/W)
214,Adilabad,Boath,Bheempur,Khairiguda,8,207,246,0,453,8,ST (W)
215,Adilabad,Boath,Bheempur,Markaguda,6,204,241,0,445,8,ST (M/W)
216,Adilabad,Boath,Bheempur,Nippani,10,706,795,0,1501,8,SC (W)
217,Adilabad,Boath,Bheempur,Pippalkoti,10,1201,1268,0,2469,8,SC (M/W)
218,Adilabad,Boath,Bheempur,Tamsi (K),8,366,407,0,773,8,ST (W)
219,Adilabad,Boath,Bheempur,Tekdirampur,6,217,253,0,470,8,ST (M/W)
220,Adilabad,Boath,Bheempur,Wadgaon,8,251,269,0,520,8,UR (W)
221,Adilabad,Boath,Bheempur,Wadoor,8,467,488,0,955,8,BC (M/W)
222,Adilabad,Boath,Boath,Andooru,8,408,434,0,842,8,ST (M/W)
223,Adilabad,Boath,Boath,Babera,8,217,227,0,444,8,UR (W)
224,Adilabad,Boath,Boath,Babera Thanda,8,272,274,0,546,8,UR (M/W)
225,Adilabad,Boath,Boath,Beerlagondi,6,140,166,0,306,8,UR (M/W)
226,Adilabad,Boath,Boath,Boath (B),16,4150,4563,0,8713,8,SC (W)
227,Adilabad,Boath,Boath,Chinthaguda,6,175,210,0,385,8,ST (W)
228,Adilabad,Boath,Boath,Dhannur (B),12,1194,1271,0,2465,8,UR (W)
229,Adilabad,Boath,Boath,Kangutta,10,636,709,0,1345,8,BC (W)
230,Adilabad,Boath,Boath,Kantegoan,8,211,205,0,416,8,ST (M/W)
231,Adilabad,Boath,Boath,Karathwada,8,315,380,0,695,8,ST (M/W)
232,Adilabad,Boath,Boath,Kowtha (B),12,1379,1560,1,2940,8,BC (M/W)
233,Adilabad,Boath,Boath,Kuchalapur,8,483,601,0,1084,8,SC (M/W)
234,Adilabad,Boath,Boath,Mandabogada,8,254,241,0,495,8,UR (M/W)
235,Adilabad,Boath,Boath,Marlapelly,8,529,565,0,1094,8,ST (W)
236,Adilabad,Boath,Boath,Nagapur,8,248,275,0,523,8,ST (M/W)
237,Adilabad,Boath,Boath,Nakkalwada,8,322,345,0,667,8,UR (M/W)
238,Adilabad,Boath,Boath,Nigini,8,369,387,0,756,8,ST (W)
239,Adilabad,Boath,Boath,Patnapur,8,372,389,0,761,8,ST (M/W)
240,Adilabad,Boath,Boath,Pippaldhari,6,190,204,0,394,8,ST (W)
241,Adilabad,Boath,Boath,Pochera,10,921,1002,0,1923,8,UR (W)
242,Adilabad,Boath,Boath,Sangvi,8,237,228,0,465,8,ST (M/W)
243,Adilabad,Boath,Echoda,Adegaon (K),10,709,805,0,1514,8,BC (W)
244,Adilabad,Boath,Echoda,Adegaon-B,8,240,256,0,496,8,UR (M/W)
245,Adilabad,Boath,Echoda,Babjipet,6,172,204,0,376,8,UR (M/W)
246,Adilabad,Boath,Echoda,Boregaon,10,525,630,0,1155,8,UR (M/W)
247,Adilabad,Boath,Echoda,Chincholi,8,258,256,0,514,8,ST (W)
248,Adilabad,Boath,Echoda,Devulnaik Thanda,6,171,171,0,342,8,UR (W)
249,Adilabad,Boath,Echoda,Dhaba B,8,248,246,0,494,8,UR (M/W)
250,Adilabad,Boath,Echoda,Dhaba-K,8,266,284,0,550,8,ST (W)
251,Adilabad,Boath,Echoda,Dharampuri,8,240,266,0,506,8,SC (M/W)
252,Adilabad,Boath,Echoda,Dubarpet (A),8,277,325,0,602,8,ST (W)
253,Adilabad,Boath,Echoda,Echoda,16,4506,4666,0,9172,8,ST (M/W)
254,Adilabad,Boath,Echoda,Girjam,8,399,457,0,856,8,ST (M/W)
255,Adilabad,Boath,Echoda,Gundala,10,761,802,0,1563,8,UR (M/W)
256,Adilabad,Boath,Echoda,Gundivagu,8,155,185,0,340,8,ST (W)
257,Adilabad,Boath,Echoda,Heerapur,6,144,166,0,310,8,ST (M/W)
258,Adilabad,Boath,Echoda,Jalda,8,289,283,0,572,8,ST (W)
259,Adilabad,Boath,Echoda,Jamidi,8,465,468,0,933,8,SC (M/W)
260,Adilabad,Boath,Echoda,Junni,8,332,322,0,654,8,SC (W)
261,Adilabad,Boath,Echoda,Kamagiri,8,246,277,0,523,8,UR (W)
262,Adilabad,Boath,Echoda,Keshavapatnam,10,1003,1093,0,2096,8,UR (M/W)
263,Adilabad,Boath,Echoda,Kokasmannur,8,549,549,0,1098,8,UR (W)
264,Adilabad,Boath,Echoda,Madapur,8,533,562,0,1095,8,BC (M/W)
265,Adilabad,Boath,Echoda,Malyal,8,349,399,0,748,8,ST (M/W)
266,Adilabad,Boath,Echoda,Mankapur,8,237,284,0,521,8,ST (M/W)
267,Adilabad,Boath,Echoda,Mukra - B,8,455,497,0,952,8,UR (W)
268,Adilabad,Boath,Echoda,Mukra (K),8,229,239,0,468,8,SC (M/W)
269,Adilabad,Boath,Echoda,Narsapur,10,760,747,0,1507,8,ST (W)
270,Adilabad,Boath,Echoda,Navegaon,8,427,394,0,821,8,UR (W)
271,Adilabad,Boath,Echoda,Salyada,6,183,194,0,377,8,UR (W)
272,Adilabad,Boath,Echoda,Sathnumber,8,453,475,0,928,8,ST (M/W)
273,Adilabad,Boath,Echoda,Sirichalma,10,765,836,0,1601,8,ST (M/W)
274,Adilabad,Boath,Echoda,Talamadri,8,478,481,0,959,8,ST (W)
275,Adilabad,Boath,Echoda,Yellammaguda,8,307,295,0,602,8,BC (M/W)
276,Adilabad,Boath,Gudihathnur,Belluri,6,173,175,0,348,8,ST (W)
277,Adilabad,Boath,Gudihathnur,Damanguda,6,189,188,0,377,8,ST (M/W)
278,Adilabad,Boath,Gudihathnur,Dongargaon,8,237,247,0,484,8,BC (M/W)
279,Adilabad,Boath,Gudihathnur,Garkampet -I,6,157,182,0,339,8,ST (M/W)
280,Adilabad,Boath,Gudihathnur,Gond Harkapur,8,251,240,0,491,8,ST (M/W)
281,Adilabad,Boath,Gudihathnur,Gudihathnur,14,2717,2791,0,5508,8,ST (M/W)
282,Adilabad,Boath,Gudihathnur,Guruj,8,380,413,0,793,8,ST (W)
283,Adilabad,Boath,Gudihathnur,Kamalapur,8,305,303,0,608,8,UR (M/W)
284,Adilabad,Boath,Gudihathnur,Kolhari,10,977,915,0,1892,8,SC (M/W)
285,Adilabad,Boath,Gudihathnur,Lingapur,8,343,347,0,690,8,UR (W)
286,Adilabad,Boath,Gudihathnur,Machapur,8,445,495,0,940,8,ST (M/W)
287,Adilabad,Boath,Gudihathnur,Malkapoor,6,176,206,0,382,8,ST (W)
288,Adilabad,Boath,Gudihathnur,Mankapoor,8,296,318,0,614,8,UR (M/W)
289,Adilabad,Boath,Gudihathnur,Mannur,12,1380,1444,0,2824,8,SC (W)
290,Adilabad,Boath,Gudihathnur,Muthnur,8,418,421,0,839,8,ST (W)
291,Adilabad,Boath,Gudihathnur,Muthnur Tanda,8,240,269,0,509,8,ST (M/W)
292,Adilabad,Boath,Gudihathnur,Ragapoor,6,182,221,0,403,8,ST (W)
293,Adilabad,Boath,Gudihathnur,Seethagondi,8,502,567,0,1069,8,ST (W)
294,Adilabad,Boath,Gudihathnur,Shambuguda,8,276,304,0,580,8,ST (W)
295,Adilabad,Boath,Gudihathnur,Shanthapur,8,462,499,0,961,8,UR (M/W)
296,Adilabad,Boath,Gudihathnur,Soyamguda,4,76,92,0,168,8,ST (M/W)
297,Adilabad,Boath,Gudihathnur,Suryaguda,8,261,303,0,564,8,UR (W)
298,Adilabad,Boath,Gudihathnur,Thosham,12,1141,1190,0,2331,8,ST (W)
299,Adilabad,Boath,Gudihathnur,Tosham Tanda,8,309,296,0,605,8,ST (M/W)
300,Adilabad,Boath,Gudihathnur,Umri-B,6,132,145,0,277,8,ST (M/W)
301,Adilabad,Boath,Gudihathnur,Vaizapoor,8,336,358,0,694,8,ST (W)
302,Adilabad,Boath,Neradigonda,Arepally,6,152,175,0,327,8,UR (W)
303,Adilabad,Boath,Neradigonda,Bandham Regadi,8,235,265,0,500,8,UR (M/W)
304,Adilabad,Boath,Neradigonda,Bondidi,8,438,404,0,842,8,UR (W)
305,Adilabad,Boath,Neradigonda,Boregaon,8,263,273,0,536,8,UR (M/W)
