S.No	RIO	State	District	Assembly Constituency	Mandal	Gram Panchayat
2576	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Laxmiravulapally
2577	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Machareddy
2578	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Maisamma Cheruvu Thanda
2579	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Marri Thanda
2580	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Nadimi Thanda
2581	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Nemali Gutta Thanda
2582	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Oddera Gudem Thanda
2583	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Rajkhanpet
2584	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Ratnagiripally
2585	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Sardapoor Thanda
2586	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Somarampet
2587	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Somarampet Thanda
2588	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Venuka Thanda
2589	Nizamabad	Telangana	Kamareddy	Kamareddy	Machareddy	Yellampet
2590	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Anthapur
2591	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Awalgaon
2592	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Chinna Eklara
2593	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Chinna Tadgoor
2594	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Dhannur
2595	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Gojegaon
2596	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Handekeroor
2597	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Kodichea
2598	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Lachan
2599	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Madnoor
2600	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Menoor
2601	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Pedda Eklara
2602	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Rachur
2603	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Rushegaon
2604	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Shakkarga Big
2605	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Shakkarga Small
2606	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Shekapoor
2607	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Somoor
2608	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Sulthanpet
2609	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Tadgoor Big
2610	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Madnur	Thadi Hipparga
2611	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Burgul
2612	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Dupsing Thanda
2613	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Galipur
2614	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Girnithanda
2615	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Gunkul
2616	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Hasanpalli
2617	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Komalancha
2618	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Maqdumpur
2619	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Mohammednagar
2620	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Narva
2621	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Singitham
2622	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Telgapur
2623	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Mohammadnagar	Tunkipalli
2624	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Achaipally
2625	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Akkampalle
2626	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Atmakur
2627	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Banjara Thanda
2628	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Bejugamcheruvu Thanda
2629	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Bollaram
2630	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Chinna Atmakur
2631	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Chinur
2632	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Dharmareddy
2633	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Golilingal
2634	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Gopalpet
2635	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Jallalpur
2636	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Kanna Reddy
2637	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Lingampalle (Kalan)
2638	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Malthummeda
2639	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Masanpalle
2640	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Matur
2641	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Mellekunta Thanda
2642	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Nagareddipet
2643	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Palleboguda Thanda
2644	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Pocharam
2645	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Raghavapalle
2646	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Tandur
2647	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Vadalparthi
2648	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Venkampalle
2649	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Wadi
2650	Nizamabad	Telangana	Kamareddy	Yellareddy	Naga_Reddipet	Zapthi Jankampalle
2651	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Ankole
2652	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Ankole Camp
2653	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Ankole Tanda
2654	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Baswaipally
2655	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Bommandevpally
2656	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Boppaspally
2657	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Durki
2658	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Fakeer Nayak Thanda
2659	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Hajipur
2660	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Kamshetpally
2661	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Lingampally Tanda
2662	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Mailaram
2663	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Mirzapoor
2664	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Nachupally
2665	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Nasrullabad
2666	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Nemli
2667	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Ramulagutta Tanda
2668	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Sangam
2669	Nizamabad	Telangana	Kamareddy	Banswada	Nasurullabad	Sangam (A)
2670	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Achampet
2671	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Arepally
2672	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Banjapally
2673	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Brahmanpally
2674	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Gorgal
2675	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Jakkapur
2676	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Maghi
2677	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Mallur
2678	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Mallur Thanda
2679	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Manglur
2680	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Narsinghrao Pally
2681	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Sulthan Nagar
2682	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Velganoor
2683	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Nizamsagar	Oddepally
2684	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Arepally
2685	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Banda Rameshwar pally
2686	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Bhavanipet
2687	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Bhavanipet Thanda
2688	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Devanpally
2689	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Fareedpet
2690	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Issaipet
2691	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Palavancha
2692	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Potharam
2693	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Singaraipally
2694	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Wadi
2695	Nizamabad	Telangana	Kamareddy	Kamareddy	Palavancha	Yellapugonda
2696	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Anjani
2697	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Babulgaon
2698	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Begumpoor
2699	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Burugupally
2700	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Chavini Thanda
2701	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Chinna Devisingh Thanda
2702	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Jaganathpally
2703	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Kaslabad
2704	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Katepally
2705	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Katepally Thanda
2706	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Kubyanayak Thanda
2707	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Lingampally
2708	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Pedda Devisingh Thanda
2709	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Pedda Kodapgal
2710	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Pocharam
2711	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Pocharam Thanda
2712	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Samundar Thanda
2713	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Shivapoor
2714	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Takkadpally Small
2715	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Talabu Thanda
2716	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Tikaram Thanda
2717	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Vittalwadi
2718	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Vittalwadi Thanda
2719	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pedda Kodapgal	Wadlam
2720	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Allapur
2721	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Annaram Kalan
2722	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Bandapally
2723	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Bollakpally
2724	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Bramanapally
2725	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Burnapur
2726	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Chillargi
2727	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Dharmaram
2728	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Godmegaon
2729	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Gouraram
2730	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Gouraram Thanda
2731	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Hasnapur
2732	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Jagadamba Thanda
2733	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Karegaon
2734	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Khambapur
2735	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Kistapur
2736	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Kodapgal (Kd)
2737	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Komati Cheruvu Thanda
2738	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Kurthi
2739	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Maddel Cheruvu
2740	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Mardanda
2741	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Paredpally
2742	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Pitlam
2743	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Rampur Kalan
2744	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Siddapur
2745	Nizamabad	Telangana	Kamareddy	Jukkal (SC)	Pitlam	Thimmanagar
2746	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Annaram
2747	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Arepally
2748	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Argonda
2749	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Baswannapally
2750	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Gudi Thanda
2751	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Gundaram
2752	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Kondapoor
2753	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Nadimi Thanda
2754	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Peddaipally
2755	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Pondurthy
2756	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Rajampet
2757	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Sher ShankarThanda
2758	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Shivaipally
2759	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Siddapoor
2760	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Thalamadla
2761	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Yellapur Thanda
2762	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	Yellareddypally
2763	Nizamabad	Telangana	Kamareddy	Yellareddy	Rajampet	YellareddypallyThanda
2764	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Annaram
2765	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Battu Thanda
2766	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Gidda
2767	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Godugumarri Thanda
2768	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Gokhul (T)
2769	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Gollapalle
2770	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Issannapalle
2771	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Jagadamba Thanda
2772	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Kannapur
2773	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Kannapur(T)
2774	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Maddikunta
2775	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Moshampur
2776	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Posanipet
2777	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Ramareddy
2778	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Rangampet
2779	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Reddypet
2780	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	School Thanda
2781	Nizamabad	Telangana	Kamareddy	Kamareddy	Ramareddy	Uppalwai
2782	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Adloor Yellareddy
2783	Nizamabad	Telangana	Kamareddy	Kamareddy	Bhiknur	Baswapoor
2784	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Bhoompalle
2785	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Daggi
2786	Nizamabad	Telangana	Kamareddy	Kamareddy	Bhiknur	Kachapoor
2787	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Jangaon
2788	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Kalwaral
2789	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Kupriyal
2790	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Laxmi Nayak Thanda
2791	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Lingampalle
2792	Nizamabad	Telangana	Kamareddy	Kamareddy	Bhiknur	Motatpally
2793	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Markhal
2794	Nizamabad	Telangana	Kamareddy	Kamareddy	Bhiknur	Peddamallareddy
2795	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Padmajiwadi
2796	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Purya Nayak Thanda
2797	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Sadasivanagar
2798	Nizamabad	Telangana	Kamareddy	Kamareddy	Bhiknur	Rameshwarpally
2799	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Thimmajiwadi
2800	Nizamabad	Telangana	Kamareddy	Kamareddy	Bhiknur	Ryagatlapally
2801	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Tukkojiwadi
2802	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Uthnoor
2803	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Vajjapally (Kd)
2804	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Vajjapally Thanda
2805	Nizamabad	Telangana	Kamareddy	Yellareddy	Gandhari	Beermal Thanda
2806	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Brahmajiwadi
2807	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Brahmanpally
2808	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Chandapoor
2809	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Chityal
2810	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Demi Kalan
2811	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Devaipally
2812	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Kalojiwadi
2813	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Kankal
2814	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Karadpally
2815	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Krishnajiwadi
2816	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Nandiwada
2817	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Pallegadda Thanda
2818	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Sangojiwadi
2819	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Santhaipet
2820	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Somaram
2821	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Thadwai
2822	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Yendriyal
2823	Nizamabad	Telangana	Kamareddy	Yellareddy	Tadwai	Yerrapahad
2824	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Advilingal
2825	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Ajamabad
2826	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Almajipoor
2827	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Annasagar
2828	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Bhiknoor
2829	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Brahman Pally
2830	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Daval Malkapalle
2831	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Hajipoor Thanda
2832	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Jangamayya Pally
2833	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Kalyani	503122
2834	Nizamabad	Telangana	Kamareddy	Yellareddy	Gandhari	Gurjal Thanda
2835	Nizamabad	Telangana	Kamareddy	Yellareddy	Gandhari	Pedda Gujjul Thanda
2836	Nizamabad	Telangana	Kamareddy	Yellareddy	Gandhari	Rampur Gadda
2837	Nizamabad	Telangana	Kamareddy	Yellareddy	Gandhari	Vandrikal
2838	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Amarlabanda
2839	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Dharmaraopet
2840	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Mallupet
2841	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Modegaon
2842	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Sajja Nayak Thanda
2843	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Tirmanpalle
2844	Nizamabad	Telangana	Kamareddy	Yellareddy	Sadasivanagar	Yacharam
2845	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Kokkonda
2846	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Laxmapoor
2847	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Machapoor
2848	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Malakapoor
2849	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Mallaipalle
2850	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Mathamal
2851	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Misanpally
2852	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Moulanakhed
2853	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Repallewada
2854	Nizamabad	Telangana	Kamareddy	Yellareddy	Yellareddy	Rudraram	503122
2855	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Bommanapalli
2856	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Chigurumamidi	505467
2857	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Gagireddypalli
2858	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Gunkulapalli
2859	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Indurthi	505481
2860	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Kondapur
2861	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Lambadipalli
2862	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Mudimanikyam	505481
2863	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Mulkanoor
2864	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Nawabpet	505467
2865	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Ogulapur
2866	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Peechupalli
2867	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Ramancha	505481
2868	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Rekonda
2869	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Seetharampur
2870	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Sundaragiri
2871	Karimnagar	Telangana	Karimnagar	Husnabad	Chigurumamidi	Ullampalli
2872	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Arnakonda	505415
2873	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Bhoopalapatnam	505415
2874	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Chakunta
2875	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Chityalapalli	505415
2876	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Desaipeta
2877	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Gumlapur	505531
2878	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Katnepalli
2879	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Kolimikunta	505415
2880	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Konerupalli
2881	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Mangalapalli
2882	Karimnagar	Telangana	Karimnagar	Choppadandi (SC)	Choppadandi	Pedda Kurmapalli
